approach,project,model_element,precision,recall,f1
two-stage (3 examples),Printer,Region,,,
two-stage (3 examples),Printer,History State,0.5,1.0,0.6666666667
two-stage (3 examples),Printer,Guard,1.0,1.0,1.0
two-stage (3 examples),Printer,Overall Score,0.8409090909,1.0,0.9135802469
two-stage (6 examples),Printer,Composite State,1.0,1.0,1.0
two-stage (6 examples),Printer,State,1.0,1.0,1.0
two-stage (6 examples),Printer,Transition,1.0,1.0,1.0
two-stage (6 examples),Printer,Action,1.0,1.0,1.0
two-stage (6 examples),Printer,Region,,,
two-stage (6 examples),Printer,History State,1.0,1.0,1.0
two-stage (6 examples),Printer,Guard,1.0,1.0,1.0
two-stage (6 examples),Printer,Overall Score,1.0,1.0,1.0
two-stage (6 examples),SSC7,Composite State,1.0,1.0,1.0
two-stage (6 examples),SSC7,State,1.0,1.0,1.0
two-stage (6 examples),SSC7,Transition,1.0,1.0,0.8333333333
two-stage (6 examples),SSC7,Action,1.0,0.7142857143,
two-stage (6 examples),SSC7,Region,,,
two-stage (6 examples),SSC7,History State,1.0,1.0,1.0
two-stage (6 examples),SSC7,Guard,1.0,1.0,
two-stage (6 examples),SSC7,Overall Score,1.0,0.8939393939,0.944
one-stage,Spa Manager,Composite State,1.0,1.0,1.0
one-stage,Spa Manager,State,1.0,1.0,1.0
one-stage,Spa Manager,Transition,1.0,0.9,0.9473684211
one-stage,Spa Manager,Action,,,
one-stage,Spa Manager,Region,1.0,1.0,1.0
one-stage,Spa Manager,History State,1.0,1.0,1.0
one-stage,Spa Manager,Guard,1.0,1.0,1.0
one-stage,Spa Manager,Overall Score,1.0,0.9659090909,0.9826589595
two-stage (3 examples),Spa Manager,Composite State,1.0,1.0,1.0
two-stage (3 examples),Spa Manager,State,0.8888888889,1.0,0.9411764706
two-stage (3 examples),Spa Manager,Transition,1.0,0.9666666667,0.9830508475
two-stage (3 examples),Spa Manager,Action,,,
two-stage (3 examples),Spa Manager,Region,0.8333333333,1.0,0.9090909091
two-stage (3 examples),Spa Manager,History State,1.0,1.0,1.0
two-stage (3 examples),Spa Manager,Guard,1.0,0.75,0.8571428571
two-stage (3 examples),Spa Manager,Overall Score,0.9340659341,0.9659090909,0.9497206704
two-stage (6 examples),Spa Manager,Composite State,1.0,1.0,1.0
two-stage (6 examples),Spa Manager,State,1.0,1.0,1.0
two-stage (6 examples),Spa Manager,Transition,1.0,1.0,1.0
two-stage (6 examples),Spa Manager,Action,,,
two-stage (6 examples),Spa Manager,Region,1.0,1.0,1.0
two-stage (6 examples),Spa Manager,History State,1.0,1.0,1.0
two-stage (6 examples),Spa Manager,Guard,1.0,1.0,1.0
two-stage (6 examples),Spa Manager,Overall Score,1.0,1.0,1.0
one-stage,Thermomix TM6,Composite State,1.0,1.0,1.0
one-stage,Thermomix TM6,State,1.0,0.7272727272727273,0.8421052631578948
one-stage,Thermomix TM6,Transition,1.0,0.5294117647058824,0.6923076923076924
one-stage,Thermomix TM6,Action,1.0,0.3333333333333333,0.5
one-stage,Thermomix TM6,Region,,,
one-stage,Thermomix TM6,History State,,0.0,
one-stage,Thermomix TM6,Guard,1.0,0.35714285714285715,0.5263157894736842
one-stage,Thermomix TM6,Overall Score,1.0,0.5232558139534884,0.6870229007633588
two-stage (3 examples),Thermomix TM6,Composite State,0.5,1.0,0.6666666666666666
two-stage (3 examples),Thermomix TM6,State,0.9166666666666666,1.0,0.9565217391304348
two-stage (3 examples),Thermomix TM6,Transition,1.0,0.8823529411764706,0.9375
two-stage (3 examples),Thermomix TM6,Action,1.0,0.6666666666666666,0.8
two-stage (3 examples),Thermomix TM6,Region,,,
two-stage (3 examples),Thermomix TM6,History State,,0.0,
two-stage (3 examples),Thermomix TM6,Guard,1.0,0.42857142857142855,0.6
two-stage (3 examples),Thermomix TM6,Overall Score,0.9444444444444444,0.7906976744186046,0.8607594936708861
two-stage (6 examples),Thermomix TM6,Composite State,,0.0,
two-stage (6 examples),Thermomix TM6,State,1.0,0.8181818182,0.9
two-stage (6 examples),Thermomix TM6,Transition,1.0,0.8235294118,0.9032258065
two-stage (6 examples),Thermomix TM6,Action,1.0,0.1666666667,0.2857142857
two-stage (6 examples),Thermomix TM6,Region,,,
two-stage (6 examples),Thermomix TM6,History State,,0.0,
two-stage (6 examples),Thermomix TM6,Guard,1.0,0.4285714286,0.6
two-stage (6 examples),Thermomix TM6,Overall Score,1.0,0.6279069767,0.7714285714
one-stage,Train Automation System,Composite State,1.0,1.0,1.0
one-stage,Train Automation System,State,1.0,0.7352941176,0.8474576271
one-stage,Train Automation System,Transition,1.0,0.5,0.6666666667
one-stage,Train Automation System,Action,1.0,0.7083333333,0.8292682927
one-stage,Train Automation System,Region,1.0,1.0,1.0
one-stage,Train Automation System,History State,,0.0,
one-stage,Train Automation System,Guard,1.0,0.5357142857,0.6976744186
one-stage,Train Automation System,Overall Score,1.0,0.6357142857,0.7772925764
two-stage (3 examples),Train Automation System,Composite State,1.0,1.0,1.0
two-stage (3 examples),Train Automation System,State,0.9333333333,0.8235294118,0.875
two-stage (3 examples),Train Automation System,Transition,0.9166666667,0.55,0.6875
two-stage (3 examples),Train Automation System,Action,1.0,0.7083333333,0.8292682927
two-stage (3 examples),Train Automation System,Region,1.0,1.0,1.0
two-stage (3 examples),Train Automation System,History State,1.0,1.0,1.0
two-stage (3 examples),Train Automation System,Guard,0.8666666667,0.4642857143,0.6046511628
two-stage (3 examples),Train Automation System,Overall Score,0.94,0.6714285714,0.7833333333
two-stage (6 examples),Train Automation System,Composite State,1.0,1.0,1.0
two-stage (6 examples),Train Automation System,State,1.0,0.8529411765,0.9206349206
two-stage (6 examples),Train Automation System,Transition,1.0,0.875,0.9333333333
two-stage (6 examples),Train Automation System,Action,1.0,0.75,0.8571428571
two-stage (6 examples),Train Automation System,Region,1.0,1.0,1.0
two-stage (6 examples),Train Automation System,History State,1.0,1.0,1.0
two-stage (6 examples),Train Automation System,Guard,1.0,0.75,0.8571428571
two-stage (6 examples),Train Automation System,Overall Score,1.0,0.8357142857,0.9105058366
two-stage (6 examples),Wumple,Composite State,1.0,1.0,1.0
two-stage (6 examples),Wumple,State,1.0,0.9375,0.9677419355
two-stage (6 examples),Wumple,Transition,1.0,0.9324324324,0.965034965
two-stage (6 examples),Wumple,Action,1.0,0.5972222222,0.747826087
two-stage (6 examples),Wumple,Region,1.0,1.0,1.0
two-stage (6 examples),Wumple,History State,0.3333333333,1.0,0.5
two-stage (6 examples),Wumple,Guard,,0.0,
two-stage (6 examples),Wumple,Overall Score,0.9760479042,0.7546296296,0.8511749347
