grader,model_element,human_score,llm_score,count
GPT-5.5,Guard,0.5,0.0,5
GPT-5.5,Guard,0.5,0.5,1
GPT-5.5,Guard,0.5,1.0,1
GPT-5.5,Guard,1.0,0.0,3
GPT-5.5,Guard,1.0,0.5,1
GPT-5.5,Guard,1.0,1.0,38
GPT-5.5,History State,0.0,0.0,10
GPT-5.5,History State,0.0,0.5,0
GPT-5.5,History State,0.0,1.0,0
GPT-5.5,History State,0.5,0.0,0
GPT-5.5,History State,0.5,0.5,0
GPT-5.5,History State,0.5,1.0,1
GPT-5.5,History State,1.0,0.0,2
GPT-5.5,History State,1.0,0.5,1
GPT-5.5,History State,1.0,1.0,5
GPT-5.5,Overall Score,0.0,0.0,86
GPT-5.5,Overall Score,0.0,0.5,28
GPT-5.5,Overall Score,0.0,1.0,8
GPT-5.5,Overall Score,0.5,0.0,16
GPT-5.5,Overall Score,0.5,0.5,16
GPT-5.5,Overall Score,0.5,1.0,4
GPT-5.5,Overall Score,1.0,0.0,11
GPT-5.5,Overall Score,1.0,0.5,35
GPT-5.5,Overall Score,1.0,1.0,368
GPT-5.5,Region,0.0,0.0,10
GPT-5.5,Region,0.0,0.5,1
GPT-5.5,Region,0.0,1.0,0
GPT-5.5,Region,0.5,0.0,0
GPT-5.5,Region,0.5,0.5,0
GPT-5.5,Region,0.5,1.0,0
GPT-5.5,Region,1.0,0.0,0
GPT-5.5,Region,1.0,0.5,0
GPT-5.5,Region,1.0,1.0,13
GPT-5.5,State,0.0,0.0,14
GPT-5.5,State,0.0,0.5,1
GPT-5.5,State,0.0,1.0,2
GPT-5.5,State,0.5,0.0,5
GPT-5.5,State,0.5,0.5,4
GPT-5.5,State,0.5,1.0,0
GPT-5.5,State,1.0,0.0,3
GPT-5.5,State,1.0,0.5,3
GPT-5.5,State,1.0,1.0,99
GPT-5.5,Transition,0.0,0.0,14
GPT-5.5,Transition,0.0,0.5,4
GPT-5.5,Transition,0.0,1.0,2
GPT-5.5,Transition,0.5,0.0,6
GPT-5.5,Transition,0.5,0.5,6
GPT-5.5,Transition,0.5,1.0,1
GPT-5.5,Transition,1.0,0.0,1
GPT-5.5,Transition,1.0,0.5,17
GPT-5.5,Transition,1.0,1.0,138
Gemini3.1ProPreview,Action,0.0,0.0,28
Gemini3.1ProPreview,Action,0.0,0.5,7
Gemini3.1ProPreview,Action,0.0,1.0,2
Gemini3.1ProPreview,Action,0.5,0.0,3
Gemini3.1ProPreview,Action,0.5,0.5,0
Gemini3.1ProPreview,Action,0.5,1.0,2
Gemini3.1ProPreview,Action,1.0,0.0,13
Gemini3.1ProPreview,Action,1.0,0.5,7
Gemini3.1ProPreview,Action,1.0,1.0,50
Gemini3.1ProPreview,Composite State,0.0,0.0,9
Gemini3.1ProPreview,Composite State,0.0,0.5,1
Gemini3.1ProPreview,Composite State,0.0,1.0,0
Gemini3.1ProPreview,Composite State,0.5,0.0,0
Gemini3.1ProPreview,Composite State,0.5,0.5,1
Gemini3.1ProPreview,Composite State,0.5,1.0,0
Gemini3.1ProPreview,Composite State,1.0,0.0,2
Gemini3.1ProPreview,Composite State,1.0,0.5,0
Gemini3.1ProPreview,Composite State,1.0,1.0,18
Gemini3.1ProPreview,Guard,0.0,0.0,16
Gemini3.1ProPreview,Guard,0.0,0.5,0
Gemini3.1ProPreview,Guard,0.0,1.0,1
Gemini3.1ProPreview,Guard,0.5,0.0,5
Gemini3.1ProPreview,Guard,0.5,0.5,2
Gemini3.1ProPreview,Guard,0.5,1.0,0
Gemini3.1ProPreview,Guard,1.0,0.0,3
Gemini3.1ProPreview,Guard,1.0,0.5,2
Gemini3.1ProPreview,Guard,1.0,1.0,37
Gemini3.1ProPreview,History State,0.0,0.0,10
Gemini3.1ProPreview,History State,0.0,0.5,0
Gemini3.1ProPreview,History State,0.0,1.0,0
Gemini3.1ProPreview,History State,0.5,0.0,1
Gemini3.1ProPreview,History State,0.5,0.5,0
Gemini3.1ProPreview,History State,0.5,1.0,0
Gemini3.1ProPreview,History State,1.0,0.0,3
Gemini3.1ProPreview,History State,1.0,0.5,0
Gemini3.1ProPreview,History State,1.0,1.0,5
Gemini3.1ProPreview,Overall Score,0.0,0.0,109
Gemini3.1ProPreview,Overall Score,0.0,0.5,9
Gemini3.1ProPreview,Overall Score,0.0,1.0,4
Gemini3.1ProPreview,Overall Score,0.5,0.0,23
Gemini3.1ProPreview,Overall Score,0.5,0.5,11
Gemini3.1ProPreview,Overall Score,0.5,1.0,2
Gemini3.1ProPreview,Overall Score,1.0,0.0,30
Gemini3.1ProPreview,Overall Score,1.0,0.5,20
Gemini3.1ProPreview,Overall Score,1.0,1.0,364
Gemini3.1ProPreview,Region,0.0,0.0,11
Gemini3.1ProPreview,Region,0.0,0.5,0
Gemini3.1ProPreview,Region,0.0,1.0,0
Gemini3.1ProPreview,Region,0.5,0.0,0
Gemini3.1ProPreview,Region,0.5,0.5,0
Gemini3.1ProPreview,Region,0.5,1.0,0
Gemini3.1ProPreview,Region,1.0,0.0,1
Gemini3.1ProPreview,Region,1.0,0.5,0
Gemini3.1ProPreview,Region,1.0,1.0,12
Gemini3.1ProPreview,State,0.0,0.0,16
Gemini3.1ProPreview,State,0.0,0.5,0
Gemini3.1ProPreview,State,0.0,1.0,1
Gemini3.1ProPreview,State,0.5,0.0,5
Gemini3.1ProPreview,State,0.5,0.5,4
Gemini3.1ProPreview,State,0.5,1.0,0
Gemini3.1ProPreview,State,1.0,0.0,3
Gemini3.1ProPreview,State,1.0,0.5,3
Gemini3.1ProPreview,State,1.0,1.0,99
Gemini3.1ProPreview,Transition,0.0,0.0,19
Gemini3.1ProPreview,Transition,0.0,0.5,1
Gemini3.1ProPreview,Transition,0.0,1.0,0
Gemini3.1ProPreview,Transition,0.5,0.0,9
Gemini3.1ProPreview,Transition,0.5,0.5,4
Gemini3.1ProPreview,Transition,0.5,1.0,0
Gemini3.1ProPreview,Transition,1.0,0.0,5
Gemini3.1ProPreview,Transition,1.0,0.5,8
Gemini3.1ProPreview,Transition,1.0,1.0,143
