Type	Element	Grading	Notes
Action	alarmTime+=1min	1	Represented by incrementAlarmMinutes()
Transition	C (Minutes ⇒ Hours)	1	Transition C to SettingAlarmHours is present
Action	flashHours()	0	No flash hours action
State	Hours	1	Represented by SettingAlarmHours
Transition	B (Hours ⇒ Hours)	1	Transition B to increment alarm hours is present
Action	alarmTime+=1hr	1	Represented by incrementAlarmHours()
Transition	C (Hours ⇒ Minutes)	1	Transition C to SettingAlarmMinutes is present
Action	flashMinutes()	0	No flash minutes action
Transition	A (AlarmMode ⇒ CountdownMode)	1	Transition A to Countdown is present
Composite State	CountdownMode	1	Represented by Countdown state
State	Initial state (CountdownMode → Idle)	1	Initial state points to ShowCountdown
State	Idle	1	Represented by ShowCountdown
Action	entry / displayCdTime()	0	No display countdown time action
Transition	C (Idle ⇒ Seconds)	1	Transition C to SettingCountdown and SettingCountdownSeconds is present
Action	flashSeconds()	0	No flash seconds action
Transition	B (Idle ⇒ Countdown)	1	Transition B to CountdownRunning is present
Guard	[cdTime > 0:00:00]	1	Represented by countdownTimeSet guard
Action	targetTime = time + cdTime	0	No target time calculation action
Transition	A (CountdownMode ⇒ TimeKeepingMode)	1	Transition A to Timekeeping is present
State	Seconds	1	Represented by SettingCountdownSeconds
Transition	B (Seconds ⇒ Seconds)	1	Transition B to increment countdown seconds is present
Action	cdTime+=1sec	1	Represented by incrementCountdownSeconds()
Transition	C (Seconds ⇒ Minutes)	1	Transition C to SettingCountdownMinutes is present
Action	flashMinutes()	0	No flash minutes action
State	Minutes	1	Represented by SettingCountdownMinutes
Transition	B (Minutes ⇒ Minutes)	1	Transition B to increment countdown minutes is present
Action	cdTime+=1min	1	Represented by incrementCountdownMinutes()
Transition	C (Minutes ⇒ Hours)	1	Transition C to SettingCountdownHours is present
Action	flashHours()	0	No flash hours action
State	Hours	1	Represented by SettingCountdownHours
Transition	B (Hours ⇒ Hours)	1	Transition B to increment countdown hours is present
Action	cdTime+=1hr	1	Represented by incrementCountdownHours()
Transition	C (Hours ⇒ Seconds)	1	Transition C to SettingCountdownSeconds is present
Action	flashSeconds()	0	No flash seconds action
State	Countdown	1	Represented by CountdownRunning
Action	do / displayCountdown()	0	No display countdown action
Transition	(targetTime == time) (Countdown ⇒ CountdownReached)	1	Represented by countdownComplete transition to CountdownNotifications
Action	flash()	0.5	Handled via notes on CountdownNotifications
State	CountdownReached	1	Represented by CountdownNotifications
Action	do / flashZero&Beep5Sec()	1	Represented by entry actions in notes
Transition	anyButton (CountdownReached ⇒ CountdownMode)	1	Transition anyButton to ShowCountdown is present
History State	H	1	History states are present
Transition	(alarm && alarmTime == time) (AlarmOff ⇒ AlarmOn)	1	Represented by alarmTimeReached transition to AlarmNotifications
Action	saveDisplay()	0	No save display action
Action	flash()	0.5	Handled via notes on AlarmNotifications
State	AlarmOn	1	Represented by AlarmNotifications
Action	do / flashAlarmTime&Beep5Sec()	1	Represented by entry actions in notes
Action	exit / restoreDisplay()	0	No restore display action
Transition	anyButton (AlarmOn ⇒ History State)	1	Transition anyButton to H is present
State	additional elements	0	Additional states are reasonable structural choices
Transition	additional elements	0	Additional transitions are correct per system description
Guard	additional elements	0	No unreasonable additional guards
Action	additional elements	0	No unreasonable additional actions
Composite State	additional elements	0	Additional composite states are reasonable structural choices
Region	additional elements	0	No unreasonable additional regions
History State	additional elements	0	No unreasonable additional history states
