Type,Element,Grading,Notes
Action,"flashMinutes()",0,No flashMinutes() action on transition
State,"Minutes",1,SettingCountdownMinutes state present
Transition,"B (Minutes ⇒ Minutes)",1,B self-transition on SettingCountdownMinutes present
Action,"cdTime+=1min",0.5,incrementCountdownMinutes() action present but not cdTime+=1min
Transition,"C (Minutes ⇒ Hours)",1,C transition from SettingCountdownMinutes to SettingCountdownHours present
Action,"flashHours()",0,No flashHours() action on transition
State,"Hours",1,SettingCountdownHours state present
Transition,"B (Hours ⇒ Hours)",1,B self-transition on SettingCountdownHours present
Action,"cdTime+=1hr",0.5,incrementCountdownHours() action present but not cdTime+=1hr
Transition,"C (Hours ⇒ Seconds)",1,C transition from SettingCountdownHours to SettingCountdownSeconds present
Action,"flashSeconds()",0,No flashSeconds() action on transition
State,"Countdown",1,CountdownRunning state represents countdown state
Action,"do / displayCountdown()",0,No displayCountdown() action in CountdownRunning state
Transition,"(targetTime == time) (Countdown ⇒ CountdownReached)",1,countdownComplete transition from CountdownRunning to CountdownNotifications present
Action,"flash()",0,No flash() action on transition
State,"CountdownReached",1,CountdownNotifications state represents countdown reached state
Action,"do / flashZero&Beep5Sec()",0.5,Entry actions for beeping and flashing present in note but not as do action
Transition,"anyButton (CountdownReached ⇒ CountdownMode)",1,anyButton transition from CountdownNotifications to ShowCountdown present
History State,"H",1,History state H present in Timekeeping and Countdown
Transition,"(alarm && alarmTime == time) (AlarmOff ⇒ AlarmOn)",1,alarmTimeReached transition from OperatingModes to AlarmNotifications present with guard
Action,"saveDisplay()",0,No saveDisplay() action on transition
Action,"flash()",0,No flash() action on transition
State,"AlarmOn",1,AlarmNotifications state represents alarm on state
Action,"do / flashAlarmTime&Beep5Sec()",0.5,Entry actions for beeping and flashing present in note but not as do action
Action,"exit / restoreDisplay()",0.5,returnToPreviousMode() action present but not restoreDisplay()
Transition,"anyButton (AlarmOn ⇒ History State)",1,anyButton transition from AlarmNotifications to history state H present
State,"additional elements",0,No fundamentally incorrect states present
Transition,"additional elements",0,No fundamentally incorrect transitions present
Guard,"additional elements",0,No fundamentally incorrect guards present
Action,"additional elements",0,No fundamentally incorrect actions present
Composite State,"additional elements",0,No fundamentally incorrect composite states present
Region,"additional elements",0,No fundamentally incorrect regions present
History State,"additional elements",0,No fundamentally incorrect history states present
