Type	Element	Grading	Notes
State	WeighBag	1	WeighingBag state is present in the Shopping composite state.
Transition	secWeighedItem (WeighBag ⇒ Ready)	1	Transition 'weightReceived / updateBagCount()' from WeighingBag to Ready represents this behavior.
Action	addBag()	1	Action updateBagCount() is semantically equivalent to addBag().
Transition	cancel (WeighBag ⇒ Ready)	1	Transition 'cancel' from WeighingBag to Ready is present.
State	Override	1	StaffOverride composite state with substates represents the override behavior.
Action	entry / lightOn()	1	Entry action 'turnOnLight()' is present in the note for StaffOverride.
Action	exit / lightOff()	1	Exit action 'turnOffLight()' is present in the note for StaffOverride.
Transition	codeEntered (Override ⇒ Ready)	1	Transition 'enterCode [correct] / clearItem()' from RemoveItemOverride to Shopping represents this behavior.
Guard	[codeCorrect() && isTypeItem()]	0.5	Guard [correct] is present but does not explicitly check isTypeItem(); behavior is implicit in separate states.
Action	clearItem()	1	Action clearItem() is present on the correct code transition from RemoveItemOverride.
Transition	codeEntered (Override ⇒ Ready)	1	Transition 'enterCode [correct] / clearEverything()' from CancelAllOverride to Shopping represents this behavior.
Guard	[codeCorrect() && isTypeEverything()]	0.5	Guard [correct] is present but does not explicitly check isTypeEverything(); behavior is implicit in separate states.
Action	clearEverything()	1	Action clearEverything() is present on the correct code transition from CancelAllOverride.
Transition	codeEntered (Override ⇒ Override)	1	Transitions 'enterCode [!correct] / showError()' within each override substate represent this behavior.
Guard	[!codeCorrect()]	1	Guard [!correct] is semantically equivalent to !codeCorrect().
Transition	timeoutWarning (Active ⇒ TimeoutCountdown)	1	Transition 'timeoutWarning' from Shopping to TimeoutWarning represents this behavior.
Transition	error()	1	Action showError() on incorrect code transitions is semantically equivalent to error().
History State	H (Active)	1	History state H is present within the Shopping composite state.
State	TimeoutCountdown	1	TimeoutWarning state represents the countdown behavior.
Action	do / countFrom60()	1	Entry action 'startCountdown(60s)' in the note for TimeoutWarning captures the countdown behavior.
Transition	(TimeoutCountdown ⇒ Active)	1	Transition 'countdownZero / clearEverything()' from TimeoutWarning to Shopping represents this behavior.
Action	clearEverything()	1	Action clearEverything() is present on the countdown zero transition.
Action	readyForNextCustomer()	0.5	Implicit in returning to Shopping state but not explicitly called as a separate action.
State	PayRequested	1	Payment state represents the payment request behavior.
Transition	fail (PayRequested ⇒ Ready)	1	Transition 'fail / showError()' from Payment to Shopping represents this behavior.
Action	error()	1	Action showError() is semantically equivalent to error().
Transition	cancel (PayRequested ⇒ Ready)	1	Transition 'cancel' from Payment to Shopping is present.
Transition	success (PayRequested ⇒ Ready)	1	Transition 'success' from Payment to PrintingBill, then 'done / clearEverything()' to Shopping represents this behavior.
Action	printBill()	1	Entry action printBill() in PrintingBill state captures the bill printing behavior.
Action	readyForNextCustomer()	0.5	Implicit in returning to Shopping state but not explicitly called as a separate action.
State	additional elements	1	PrintingBill state is an extra state not in ground truth but represents reasonable decomposition of payment success.
Transition	additional elements	0	No fundamentally incorrect additional transitions.
Guard	additional elements	0	No fundamentally incorrect additional guards.
Action	additional elements	0	No fundamentally incorrect additional actions.
Composite State	additional elements	1	StaffOverride composite state with substates is additional structure not in ground truth but represents reasonable modeling choice.
Region	additional elements	0	No additional regions present.
History State	additional elements	0	No additional history states present.
